Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,2013,29,11572232,0.3,0.2
Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,2014,32,11596998,0.3,0.2
Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,2011,67,11545442,0.6,0.5
"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,2012,76,11551783,0.7,0.6
"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,2013,83,11572232,0.7,0.6
"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,2014,82,11596998,0.7,0.6
"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,2015,127,11613423,1.1,0.9
"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,2011,106,11545442,0.9,0.8
"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,2012,94,11551783,0.8,0.7
"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,2013,104,11572232,0.9,0.8
"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,2014,95,11596998,0.8,0.7
"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,2015,131,11613423,1.1,0.9
"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",F10.7,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",F10.7,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",F10.7,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",F11.9,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",F11.9,2013,21,11572232,0.2,0.2
"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",F11.9,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",F11.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder",F14.9,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,2013,26,11572232,0.2,0.2
"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,2015,20,11613423,0.2,0.1
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,2011,45,11545442,0.4,0.4
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,2012,33,11551783,0.3,0.3
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,2013,23,11572232,0.2,0.2
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,2014,29,11596998,0.3,0.3
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,2015,37,11613423,0.3,0.3
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",F19.9,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",F19.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Schizophrenia, unspecified",F20.9,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
"Schizophrenia, unspecified",F20.9,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Schizophrenia, unspecified",F20.9,2013,21,11572232,0.2,0.2
"Schizophrenia, unspecified",F20.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Schizophrenia, unspecified",F20.9,2015,26,11613423,0.2,0.2
"Bipolar affective disorder, unspecified",F31.9,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Bipolar affective disorder, unspecified",F31.9,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Depressive episode, unspecified",F32.9,2011,34,11545442,0.3,0.2
"Depressive episode, unspecified",F32.9,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Depressive episode, unspecified",F32.9,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Depressive episode, unspecified",F32.9,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Depressive episode, unspecified",F32.9,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,F54,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,F54,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,F54,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mental retardation,F79,2011,34,11545442,0.3,0.3
Unspecified mental retardation,F79,2012,33,11551783,0.3,0.3
Unspecified mental retardation,F79,2013,25,11572232,0.2,0.2
Unspecified mental retardation,F79,2014,28,11596998,0.2,0.2
Unspecified mental retardation,F79,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Meningitis, unspecified",G03.9,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Meningitis, unspecified",G03.9,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Extradural and subdural abscess, unspecified",G06.2,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Huntington's disease,G10,2011,54,11545442,0.5,0.4
Huntington's disease,G10,2012,52,11551783,0.5,0.4
Huntington's disease,G10,2013,47,11572232,0.4,0.3
Huntington's disease,G10,2014,47,11596998,0.4,0.4
Huntington's disease,G10,2015,47,11613423,0.4,0.4
Motor neuron disease,G12.2,2011,286,11545442,2.5,2.1
Motor neuron disease,G12.2,2012,319,11551783,2.8,2.3
Motor neuron disease,G12.2,2013,289,11572232,2.5,2.1
Motor neuron disease,G12.2,2014,326,11596998,2.8,2.3
Motor neuron disease,G12.2,2015,308,11613423,2.7,2.1
Parkinson's disease,G20,2011,969,11545442,8.4,7.2
Parkinson's disease,G20,2012,1021,11551783,8.8,7.5
Parkinson's disease,G20,2013,1074,11572232,9.3,7.8
Parkinson's disease,G20,2014,1086,11596998,9.4,7.7
Parkinson's disease,G20,2015,1135,11613423,9.8,8
Alzheimer's disease with late onset,G30.1,2011,109,11545442,0.9,0.8
Alzheimer's disease with late onset,G30.1,2012,116,11551783,1,0.8
Alzheimer's disease with late onset,G30.1,2013,104,11572232,0.9,0.7
Alzheimer's disease with late onset,G30.1,2014,104,11596998,0.9,0.7
Alzheimer's disease with late onset,G30.1,2015,91,11613423,0.8,0.6
"Alzheimer's disease, unspecified",G30.9,2011,3928,11545442,34,27.9
"Alzheimer's disease, unspecified",G30.9,2012,3819,11551783,33.1,26.6
"Alzheimer's disease, unspecified",G30.9,2013,3692,11572232,31.9,25.4
"Alzheimer's disease, unspecified",G30.9,2014,3973,11596998,34.3,27
"Alzheimer's disease, unspecified",G30.9,2015,4552,11613423,39.2,30.5
Circumscribed brain atrophy,G31.0,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
Circumscribed brain atrophy,G31.0,2013,39,11572232,0.3,0.3
Circumscribed brain atrophy,G31.0,2014,33,11596998,0.3,0.2
Circumscribed brain atrophy,G31.0,2015,52,11613423,0.4,0.4
"Senile degeneration of brain, not elsewhere classified",G31.1,2015,72,11613423,0.6,0.5
Degeneration of nervous system due to alcohol,G31.2,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Degeneration of nervous system due to alcohol,G31.2,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other specified degenerative diseases of nervous system,G31.8,2011,99,11545442,0.9,0.8
Other specified degenerative diseases of nervous system,G31.8,2012,86,11551783,0.7,0.6
Other specified degenerative diseases of nervous system,G31.8,2013,117,11572232,1,0.9
Other specified degenerative diseases of nervous system,G31.8,2014,148,11596998,1.3,1.1
Other specified degenerative diseases of nervous system,G31.8,2015,159,11613423,1.4,1.1
"Degenerative disease of nervous system, unspecified",G31.9,2011,32,11545442,0.3,0.2
"Degenerative disease of nervous system, unspecified",G31.9,2012,29,11551783,0.3,0.2
"Degenerative disease of nervous system, unspecified",G31.9,2013,38,11572232,0.3,0.3
"Degenerative disease of nervous system, unspecified",G31.9,2014,50,11596998,0.4,0.4
"Degenerative disease of nervous system, unspecified",G31.9,2015,22,11613423,0.2,0.2
Multiple sclerosis,G35,2011,229,11545442,2,1.6
Multiple sclerosis,G35,2012,226,11551783,2,1.7
Multiple sclerosis,G35,2013,181,11572232,1.6,1.3
Multiple sclerosis,G35,2014,210,11596998,1.8,1.5
Multiple sclerosis,G35,2015,208,11613423,1.8,1.4
"Epilepsy, unspecified",G40.9,2011,30,11545442,0.3,0.2
"Epilepsy, unspecified",G40.9,2012,34,11551783,0.3,0.3
"Epilepsy, unspecified",G40.9,2013,43,11572232,0.4,0.4
"Epilepsy, unspecified",G40.9,2014,41,11596998,0.4,0.3
"Epilepsy, unspecified",G40.9,2015,35,11613423,0.3,0.3
"Status epilepticus, unspecified",G41.9,2011,34,11545442,0.3,0.3
"Status epilepticus, unspecified",G41.9,2012,27,11551783,0.2,0.2
"Status epilepticus, unspecified",G41.9,2013,27,11572232,0.2,0.2
"Status epilepticus, unspecified",G41.9,2014,39,11596998,0.3,0.3
"Status epilepticus, unspecified",G41.9,2015,44,11613423,0.4,0.3
"Transient cerebral ischaemic attack, unspecified",G45.9,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Sleep apnoea,G47.3,2011,74,11545442,0.6,0.6
Sleep apnoea,G47.3,2012,64,11551783,0.6,0.4
Sleep apnoea,G47.3,2013,72,11572232,0.6,0.6
Sleep apnoea,G47.3,2014,54,11596998,0.5,0.4
Sleep apnoea,G47.3,2015,48,11613423,0.4,0.3
Guillain-Barre syndrome,G61.0,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Guillain-Barre syndrome,G61.0,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Guillain-Barre syndrome,G61.0,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Polyneuropathy, unspecified",G62.9,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Polyneuropathy, unspecified",G62.9,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Polyneuropathy, unspecified",G62.9,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Myasthenia gravis,G70.0,2011,25,11545442,0.2,0.2
Myasthenia gravis,G70.0,2012,29,11551783,0.3,0.2
Myasthenia gravis,G70.0,2013,36,11572232,0.3,0.3
Myasthenia gravis,G70.0,2014,25,11596998,0.2,0.2
Myasthenia gravis,G70.0,2015,23,11613423,0.2,0.2
"Myoneural disorder, unspecified",G70.9,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Myoneural disorder, unspecified",G70.9,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Myoneural disorder, unspecified",G70.9,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Myoneural disorder, unspecified",G70.9,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
Muscular dystrophy,G71.0,2011,38,11545442,0.3,0.3
Muscular dystrophy,G71.0,2012,45,11551783,0.4,0.4
Muscular dystrophy,G71.0,2013,42,11572232,0.4,0.3
Muscular dystrophy,G71.0,2014,33,11596998,0.3,0.3
Muscular dystrophy,G71.0,2015,25,11613423,0.2,0.2
Myotonic disorders,G71.1,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Myotonic disorders,G71.1,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
Myotonic disorders,G71.1,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
Myotonic disorders,G71.1,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Myotonic disorders,G71.1,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Infantile cerebral palsy, unspecified",G80.9,2011,52,11545442,0.5,0.5
"Infantile cerebral palsy, unspecified",G80.9,2012,52,11551783,0.5,0.4
"Infantile cerebral palsy, unspecified",G80.9,2013,74,11572232,0.6,0.6
"Infantile cerebral palsy, unspecified",G80.9,2014,48,11596998,0.4,0.4
"Infantile cerebral palsy, unspecified",G80.9,2015,64,11613423,0.6,0.5
"Paraplegia, unspecified",G82.2,2011,22,11545442,0.2,0.2
"Paraplegia, unspecified",G82.2,2012,23,11551783,0.2,0.2
"Paraplegia, unspecified",G82.2,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Paraplegia, unspecified",G82.2,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Paraplegia, unspecified",G82.2,2015,20,11613423,0.2,0.2
"Tetraplegia, unspecified",G82.5,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
"Tetraplegia, unspecified",G82.5,2012,20,11551783,0.2,0.2
"Tetraplegia, unspecified",G82.5,2013,21,11572232,0.2,0.2
"Tetraplegia, unspecified",G82.5,2014,20,11596998,0.2,0.1
"Tetraplegia, unspecified",G82.5,2015,22,11613423,0.2,0.2
Normal-pressure hydrocephalus,G91.2,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Normal-pressure hydrocephalus,G91.2,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Normal-pressure hydrocephalus,G91.2,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Normal-pressure hydrocephalus,G91.2,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
Normal-pressure hydrocephalus,G91.2,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Hydrocephalus, unspecified",G91.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Hydrocephalus, unspecified",G91.9,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Hydrocephalus, unspecified",G91.9,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Hydrocephalus, unspecified",G91.9,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Hydrocephalus, unspecified",G91.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Toxic encephalopathy,G92,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Toxic encephalopathy,G92,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Anoxic brain damage, not elsewhere classified",G93.1,2011,333,11545442,2.9,2.5
"Anoxic brain damage, not elsewhere classified",G93.1,2012,317,11551783,2.7,2.4
"Anoxic brain damage, not elsewhere classified",G93.1,2013,359,11572232,3.1,2.7
"Anoxic brain damage, not elsewhere classified",G93.1,2014,379,11596998,3.3,2.7
"Anoxic brain damage, not elsewhere classified",G93.1,2015,387,11613423,3.3,2.8
"Encephalopathy, unspecified",G93.4,2011,72,11545442,0.6,0.5
"Encephalopathy, unspecified",G93.4,2012,72,11551783,0.6,0.5
"Encephalopathy, unspecified",G93.4,2013,108,11572232,0.9,0.8
"Encephalopathy, unspecified",G93.4,2014,109,11596998,0.9,0.8
"Encephalopathy, unspecified",G93.4,2015,135,11613423,1.2,0.9
Cerebral oedema,G93.6,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Cerebral oedema,G93.6,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Cerebral oedema,G93.6,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Cerebral oedema,G93.6,2015,27,11613423,0.2,0.2
"Disorder of brain, unspecified",G93.9,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Disorder of brain, unspecified",G93.9,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Disorder of brain, unspecified",G93.9,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Mitral stenosis,I05.0,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
Mitral stenosis,I05.0,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Mitral stenosis,I05.0,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
Mitral stenosis,I05.0,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Mitral stenosis,I05.0,2015,29,11613423,0.2,0.2
"Mitral valve disease, unspecified",I05.9,2011,41,11545442,0.4,0.3
"Mitral valve disease, unspecified",I05.9,2012,39,11551783,0.3,0.3
"Mitral valve disease, unspecified",I05.9,2013,41,11572232,0.4,0.3
"Mitral valve disease, unspecified",I05.9,2014,34,11596998,0.3,0.2
"Mitral valve disease, unspecified",I05.9,2015,45,11613423,0.4,0.3
Tricuspid insufficiency,I07.1,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Tricuspid insufficiency,I07.1,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Tricuspid insufficiency,I07.1,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Disorders of both mitral and aortic valves,I08.0,2011,30,11545442,0.3,0.2
Disorders of both mitral and aortic valves,I08.0,2012,47,11551783,0.4,0.3
Disorders of both mitral and aortic valves,I08.0,2013,28,11572232,0.2,0.2
Disorders of both mitral and aortic valves,I08.0,2014,22,11596998,0.2,0.1
Disorders of both mitral and aortic valves,I08.0,2015,34,11613423,0.3,0.2
"Rheumatic heart disease, unspecified",I09.9,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Essential (primary) hypertension,I10,2011,809,11545442,7,5.8
Essential (primary) hypertension,I10,2012,817,11551783,7.1,5.7
Essential (primary) hypertension,I10,2013,843,11572232,7.3,5.8
Essential (primary) hypertension,I10,2014,875,11596998,7.5,6
Essential (primary) hypertension,I10,2015,893,11613423,7.7,6.1
Hypertensive heart disease with (congestive) heart failure,I11.0,2011,527,11545442,4.6,3.7
Hypertensive heart disease with (congestive) heart failure,I11.0,2012,449,11551783,3.9,3.1
Hypertensive heart disease with (congestive) heart failure,I11.0,2013,490,11572232,4.2,3.3
Hypertensive heart disease with (congestive) heart failure,I11.0,2014,489,11596998,4.2,3.2
Hypertensive heart disease with (congestive) heart failure,I11.0,2015,545,11613423,4.7,3.6
Hypertensive heart disease without (congestive) heart failure,I11.9,2011,1220,11545442,10.6,8.9
Hypertensive heart disease without (congestive) heart failure,I11.9,2012,1187,11551783,10.3,8.5
Hypertensive heart disease without (congestive) heart failure,I11.9,2013,1231,11572232,10.6,8.8
Hypertensive heart disease without (congestive) heart failure,I11.9,2014,1116,11596998,9.6,8
Hypertensive heart disease without (congestive) heart failure,I11.9,2015,1142,11613423,9.8,8.1
Hypertensive renal disease with renal failure,I12.0,2011,473,11545442,4.1,3.4
Hypertensive renal disease with renal failure,I12.0,2012,444,11551783,3.8,3.1
Hypertensive renal disease with renal failure,I12.0,2013,464,11572232,4,3.2
Hypertensive renal disease with renal failure,I12.0,2014,472,11596998,4.1,3.3
Hypertensive renal disease with renal failure,I12.0,2015,487,11613423,4.2,3.3
Hypertensive renal disease without renal failure,I12.9,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Hypertensive renal disease without renal failure,I12.9,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
Hypertensive heart and renal disease with (congestive) heart failure,I13.0,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
